"SDG","SDG target","SDG indicator","Indicator Code","Indicator name","Geographical area code","Geographical area name","Year","Value","Time detail","Source","Footnote","Type of data","Units","Age group","Bounds","Frequency","Level/Status","Location","Type of reporting","Sex","SDG 6 Data portal level"
NA,NA,"6.1.1",NA,"Drinking water, Piped improved",NA,"Bonaire, Sint Eustatius and Saba","2005",69.97861170523,NA,"WHO, UNICEF",NA,NA,NA,NA,NA,NA,NA,"National",NA,NA,"Proportion of population using an improved drinking-water source > Piped improved"
NA,NA,"6.1.1",NA,"Drinking water, Total",NA,"Bonaire, Sint Eustatius and Saba","2005",98.687536457321,NA,"WHO, UNICEF",NA,NA,NA,NA,NA,NA,NA,"National",NA,NA,"Proportion of population using an improved drinking-water source > Total"
NA,NA,"6.1.1",NA,"Drinking water, Surface water",NA,"Bonaire, Sint Eustatius and Saba","2005",0,NA,"WHO, UNICEF",NA,NA,NA,NA,NA,NA,NA,"National",NA,NA,"6.1.1 Proportion of population using safely managed drinking water services > Surface water"
NA,NA,"6.1.1",NA,"Drinking water, Unimproved",NA,"Bonaire, Sint Eustatius and Saba","2005",1.3124635426794,NA,"WHO, UNICEF",NA,NA,NA,NA,NA,NA,NA,"National",NA,NA,"6.1.1 Proportion of population using safely managed drinking water services > Unimproved"
NA,NA,"6.1.1",NA,"Drinking water, Limited",NA,"Bonaire, Sint Eustatius and Saba","2005",0,NA,"WHO, UNICEF",NA,NA,NA,NA,NA,NA,NA,"National",NA,NA,"6.1.1 Proportion of population using safely managed drinking water services > Limited service"
NA,NA,"6.1.1",NA,"Drinking water, At least basic service",NA,"Bonaire, Sint Eustatius and Saba","2005",98.687536457321,NA,"WHO, UNICEF",NA,NA,NA,NA,NA,NA,NA,"National",NA,NA,"6.1.1 Proportion of population using safely managed drinking water services > At least basic service"
NA,NA,"6.1.1",NA,"Drinking water, On premises",NA,"Bonaire, Sint Eustatius and Saba","2005",84.333074081275,NA,"WHO, UNICEF",NA,NA,NA,NA,NA,NA,NA,"National",NA,NA,"6.1.1 Proportion of population using safely managed drinking water services > Safely managed service > On premises"
NA,NA,"6.1.1",NA,"Drinking water, Non-piped improved",NA,"Anguilla","2008",35.627257525084,NA,"WHO, UNICEF",NA,NA,NA,NA,NA,NA,NA,"Urban",NA,NA,"Proportion of population using an improved drinking-water source > Non-piped improved"
NA,NA,"6.1.1",NA,"Drinking water, Piped improved",NA,"Anguilla","2008",61.35,NA,"WHO, UNICEF",NA,NA,NA,NA,NA,NA,NA,"Urban",NA,NA,"Proportion of population using an improved drinking-water source > Piped improved"
NA,NA,"6.1.1",NA,"Drinking water, Non-piped improved",NA,"Anguilla","2008",35.627257525084,NA,"WHO, UNICEF",NA,NA,NA,NA,NA,NA,NA,"National",NA,NA,"Proportion of population using an improved drinking-water source > Non-piped improved"
NA,NA,"6.1.1",NA,"Drinking water, Piped improved",NA,"Anguilla","2008",61.35,NA,"WHO, UNICEF",NA,NA,NA,NA,NA,NA,NA,"National",NA,NA,"Proportion of population using an improved drinking-water source > Piped improved"
NA,NA,"6.1.1",NA,"Drinking water, Non-piped improved",NA,"Cayman Islands","2016",10.125,NA,"WHO, UNICEF",NA,NA,NA,NA,NA,NA,NA,"Urban",NA,NA,"Proportion of population using an improved drinking-water source > Non-piped improved"
NA,NA,"6.1.1",NA,"Drinking water, Piped improved",NA,"Cayman Islands","2016",86,NA,"WHO, UNICEF",NA,NA,NA,NA,NA,NA,NA,"Urban",NA,NA,"Proportion of population using an improved drinking-water source > Piped improved"
NA,NA,"6.1.1",NA,"Drinking water, Total",NA,"Cayman Islands","2016",96.125,NA,"WHO, UNICEF",NA,NA,NA,NA,NA,NA,NA,"Urban",NA,NA,"Proportion of population using an improved drinking-water source > Total"
NA,NA,"6.1.1",NA,"Drinking water, Surface water",NA,"Cayman Islands","2016",0,NA,"WHO, UNICEF",NA,NA,NA,NA,NA,NA,NA,"Urban",NA,NA,"6.1.1 Proportion of population using safely managed drinking water services > Surface water"
NA,NA,"6.1.1",NA,"Drinking water, Unimproved",NA,"Cayman Islands","2016",3.875,NA,"WHO, UNICEF",NA,NA,NA,NA,NA,NA,NA,"Urban",NA,NA,"6.1.1 Proportion of population using safely managed drinking water services > Unimproved"
NA,NA,"6.1.1",NA,"Drinking water, Limited",NA,"Cayman Islands","2016",0,NA,"WHO, UNICEF",NA,NA,NA,NA,NA,NA,NA,"Urban",NA,NA,"6.1.1 Proportion of population using safely managed drinking water services > Limited service"
NA,NA,"6.1.1",NA,"Drinking water, At least basic service",NA,"Cayman Islands","2016",96.125,NA,"WHO, UNICEF",NA,NA,NA,NA,NA,NA,NA,"Urban",NA,NA,"6.1.1 Proportion of population using safely managed drinking water services > At least basic service"
NA,NA,"6.1.1",NA,"Drinking water, Available",NA,"Cayman Islands","2016",82.379125,NA,"WHO, UNICEF",NA,NA,NA,NA,NA,NA,NA,"Urban",NA,NA,"6.1.1 Proportion of population using safely managed drinking water services > Safely managed service > Available"
NA,NA,"6.1.1",NA,"Drinking water, On premises",NA,"Cayman Islands","2016",91.057820766444,NA,"WHO, UNICEF",NA,NA,NA,NA,NA,NA,NA,"Urban",NA,NA,"6.1.1 Proportion of population using safely managed drinking water services > Safely managed service > On premises"
NA,NA,"6.1.1",NA,"Drinking water, Non-piped improved",NA,"Argentina","2016",10.941183156714,NA,"WHO, UNICEF",NA,NA,NA,NA,NA,NA,NA,"Rural",NA,NA,"Proportion of population using an improved drinking-water source > Non-piped improved"
NA,NA,"6.1.1",NA,"Drinking water, Piped improved",NA,"Argentina","2016",82.042476893392,NA,"WHO, UNICEF",NA,NA,NA,NA,NA,NA,NA,"Rural",NA,NA,"Proportion of population using an improved drinking-water source > Piped improved"
NA,NA,"6.1.1",NA,"Drinking water, Total",NA,"Argentina","2016",92.983660050106,NA,"WHO, UNICEF",NA,NA,NA,NA,NA,NA,NA,"Rural",NA,NA,"Proportion of population using an improved drinking-water source > Total"
NA,NA,"6.1.1",NA,"Drinking water, Surface water",NA,"Brazil","2016",7.9694573188858,NA,"WHO, UNICEF",NA,NA,NA,NA,NA,NA,NA,"Rural",NA,NA,"6.1.1 Proportion of population using safely managed drinking water services > Surface water"
NA,NA,"6.1.1",NA,"Drinking water, Surface water",NA,"Argentina","2016",4.336795051116,NA,"WHO, UNICEF",NA,NA,NA,NA,NA,NA,NA,"Rural",NA,NA,"6.1.1 Proportion of population using safely managed drinking water services > Surface water"
NA,NA,"6.1.1",NA,"Drinking water, Unimproved",NA,"Argentina","2016",2.6795448987777,NA,"WHO, UNICEF",NA,NA,NA,NA,NA,NA,NA,"Rural",NA,NA,"6.1.1 Proportion of population using safely managed drinking water services > Unimproved"
NA,NA,"6.1.1",NA,"Drinking water, Limited",NA,"Argentina","2016",0,NA,"WHO, UNICEF",NA,NA,NA,NA,NA,NA,NA,"Rural",NA,NA,"6.1.1 Proportion of population using safely managed drinking water services > Limited service"
NA,NA,"6.1.1",NA,"Drinking water, At least basic service",NA,"Argentina","2016",92.983660050106,NA,"WHO, UNICEF",NA,NA,NA,NA,NA,NA,NA,"Rural",NA,NA,"6.1.1 Proportion of population using safely managed drinking water services > At least basic service"
NA,NA,"6.1.1",NA,"Drinking water, On premises",NA,"Argentina","2016",85.883452884435,NA,"WHO, UNICEF",NA,NA,NA,NA,NA,NA,NA,"Rural",NA,NA,"6.1.1 Proportion of population using safely managed drinking water services > Safely managed service > On premises"
NA,NA,"6.1.1",NA,"Drinking water, Non-piped improved",NA,"Argentina","2016",2.3719707728698,NA,"WHO, UNICEF",NA,NA,NA,NA,NA,NA,NA,"National",NA,NA,"Proportion of population using an improved drinking-water source > Non-piped improved"
NA,NA,"6.1.1",NA,"Drinking water, Non-piped improved",NA,"British Virgin Islands","2016",3.7417808219178,NA,"WHO, UNICEF",NA,NA,NA,NA,NA,NA,NA,"National",NA,NA,"Proportion of population using an improved drinking-water source > Non-piped improved"
NA,NA,"6.1.1",NA,"Drinking water, Non-piped improved",NA,"Aruba","2016",4.0763433809859,NA,"WHO, UNICEF",NA,NA,NA,NA,NA,NA,NA,"National",NA,NA,"Proportion of population using an improved drinking-water source > Non-piped improved"
NA,NA,"6.1.1",NA,"Drinking water, Non-piped improved",NA,"Cayman Islands","2016",10.125,NA,"WHO, UNICEF",NA,NA,NA,NA,NA,NA,NA,"National",NA,NA,"Proportion of population using an improved drinking-water source > Non-piped improved"
NA,NA,"6.1.1",NA,"Drinking water, Piped improved",NA,"British Virgin Islands","2016",96.122602739726,NA,"WHO, UNICEF",NA,NA,NA,NA,NA,NA,NA,"National",NA,NA,"Proportion of population using an improved drinking-water source > Piped improved"
NA,NA,"6.1.1",NA,"Drinking water, Piped improved",NA,"Argentina","2016",96.65188673179,NA,"WHO, UNICEF",NA,NA,NA,NA,NA,NA,NA,"National",NA,NA,"Proportion of population using an improved drinking-water source > Piped improved"
NA,NA,"6.1.1",NA,"Drinking water, Piped improved",NA,"Aruba","2016",93.79268,NA,"WHO, UNICEF",NA,NA,NA,NA,NA,NA,NA,"National",NA,NA,"Proportion of population using an improved drinking-water source > Piped improved"
NA,NA,"6.1.1",NA,"Drinking water, Piped improved",NA,"Cayman Islands","2016",86,NA,"WHO, UNICEF",NA,NA,NA,NA,NA,NA,NA,"National",NA,NA,"Proportion of population using an improved drinking-water source > Piped improved"
NA,NA,"6.1.1",NA,"Drinking water, Total",NA,"Aruba","2016",97.869023380986,NA,"WHO, UNICEF",NA,NA,NA,NA,NA,NA,NA,"National",NA,NA,"Proportion of population using an improved drinking-water source > Total"
NA,NA,"6.1.1",NA,"Drinking water, Total",NA,"Cayman Islands","2016",96.125,NA,"WHO, UNICEF",NA,NA,NA,NA,NA,NA,NA,"National",NA,NA,"Proportion of population using an improved drinking-water source > Total"
NA,NA,"6.1.1",NA,"Drinking water, Total",NA,"Argentina","2016",99.023857504659,NA,"WHO, UNICEF",NA,NA,NA,NA,NA,NA,NA,"National",NA,NA,"Proportion of population using an improved drinking-water source > Total"
NA,NA,"6.1.1",NA,"Drinking water, Surface water",NA,"Brazil","2016",1.1123769269347,NA,"WHO, UNICEF",NA,NA,NA,NA,NA,NA,NA,"National",NA,NA,"6.1.1 Proportion of population using safely managed drinking water services > Surface water"
NA,NA,"6.1.1",NA,"Drinking water, Surface water",NA,"Argentina","2016",0.36311977110312,NA,"WHO, UNICEF",NA,NA,NA,NA,NA,NA,NA,"National",NA,NA,"6.1.1 Proportion of population using safely managed drinking water services > Surface water"
NA,NA,"6.1.1",NA,"Drinking water, Surface water",NA,"Aruba","2016",0.1710404089435,NA,"WHO, UNICEF",NA,NA,NA,NA,NA,NA,NA,"National",NA,NA,"6.1.1 Proportion of population using safely managed drinking water services > Surface water"
NA,NA,"6.1.1",NA,"Drinking water, Surface water",NA,"Cayman Islands","2016",0,NA,"WHO, UNICEF",NA,NA,NA,NA,NA,NA,NA,"National",NA,NA,"6.1.1 Proportion of population using safely managed drinking water services > Surface water"
NA,NA,"6.1.1",NA,"Drinking water, Unimproved",NA,"Argentina","2016",0.61302272423742,NA,"WHO, UNICEF",NA,NA,NA,NA,NA,NA,NA,"National",NA,NA,"6.1.1 Proportion of population using safely managed drinking water services > Unimproved"
NA,NA,"6.1.1",NA,"Drinking water, Unimproved",NA,"Aruba","2016",1.9599362100706,NA,"WHO, UNICEF",NA,NA,NA,NA,NA,NA,NA,"National",NA,NA,"6.1.1 Proportion of population using safely managed drinking water services > Unimproved"
NA,NA,"6.1.1",NA,"Drinking water, Unimproved",NA,"Cayman Islands","2016",3.875,NA,"WHO, UNICEF",NA,NA,NA,NA,NA,NA,NA,"National",NA,NA,"6.1.1 Proportion of population using safely managed drinking water services > Unimproved"
NA,NA,"6.1.1",NA,"Drinking water, Limited",NA,"Cayman Islands","2016",0,NA,"WHO, UNICEF",NA,NA,NA,NA,NA,NA,NA,"National",NA,NA,"6.1.1 Proportion of population using safely managed drinking water services > Limited service"
NA,NA,"6.1.1",NA,"Drinking water, Limited",NA,"Argentina","2016",0,NA,"WHO, UNICEF",NA,NA,NA,NA,NA,NA,NA,"National",NA,NA,"6.1.1 Proportion of population using safely managed drinking water services > Limited service"
NA,NA,"6.1.1",NA,"Drinking water, Limited",NA,"Aruba","2016",0,NA,"WHO, UNICEF",NA,NA,NA,NA,NA,NA,NA,"National",NA,NA,"6.1.1 Proportion of population using safely managed drinking water services > Limited service"
NA,NA,"6.1.1",NA,"Drinking water, At least basic service",NA,"Cayman Islands","2016",96.125,NA,"WHO, UNICEF",NA,NA,NA,NA,NA,NA,NA,"National",NA,NA,"6.1.1 Proportion of population using safely managed drinking water services > At least basic service"
NA,NA,"6.1.1",NA,"Drinking water, At least basic service",NA,"Argentina","2016",99.023857504659,NA,"WHO, UNICEF",NA,NA,NA,NA,NA,NA,NA,"National",NA,NA,"6.1.1 Proportion of population using safely managed drinking water services > At least basic service"
NA,NA,"6.1.1",NA,"Drinking water, At least basic service",NA,"Aruba","2016",97.869023380986,NA,"WHO, UNICEF",NA,NA,NA,NA,NA,NA,NA,"National",NA,NA,"6.1.1 Proportion of population using safely managed drinking water services > At least basic service"
NA,NA,"6.1.1",NA,"Drinking water, Available",NA,"Cayman Islands","2016",82.379125,NA,"WHO, UNICEF",NA,NA,NA,NA,NA,NA,NA,"National",NA,NA,"6.1.1 Proportion of population using safely managed drinking water services > Safely managed service > Available"
NA,NA,"6.1.1",NA,"Drinking water, On premises",NA,"Aruba","2016",95.829214119372,NA,"WHO, UNICEF",NA,NA,NA,NA,NA,NA,NA,"National",NA,NA,"6.1.1 Proportion of population using safely managed drinking water services > Safely managed service > On premises"
NA,NA,"6.1.1",NA,"Drinking water, On premises",NA,"Cayman Islands","2016",91.057820766444,NA,"WHO, UNICEF",NA,NA,NA,NA,NA,NA,NA,"National",NA,NA,"6.1.1 Proportion of population using safely managed drinking water services > Safely managed service > On premises"
NA,NA,"6.1.1",NA,"Drinking water, On premises",NA,"Argentina","2016",97.51821381486,NA,"WHO, UNICEF",NA,NA,NA,NA,NA,NA,NA,"National",NA,NA,"6.1.1 Proportion of population using safely managed drinking water services > Safely managed service > On premises"
NA,NA,"6.1.1",NA,"Drinking water, Non-piped improved",NA,"Sint Maarten (Dutch part)","2017",4.5658804468321,NA,"WHO, UNICEF",NA,NA,NA,NA,NA,NA,NA,"Urban",NA,NA,"Proportion of population using an improved drinking-water source > Non-piped improved"
NA,NA,"6.1.1",NA,"Drinking water, Piped improved",NA,"Sint Maarten (Dutch part)","2017",90.74529888292,NA,"WHO, UNICEF",NA,NA,NA,NA,NA,NA,NA,"Urban",NA,NA,"Proportion of population using an improved drinking-water source > Piped improved"
NA,NA,"6.1.1",NA,"Drinking water, Total",NA,"Anguilla","2017",97.482274247492,NA,"WHO, UNICEF",NA,NA,NA,NA,NA,NA,NA,"Urban",NA,NA,"Proportion of population using an improved drinking-water source > Total"
NA,NA,"6.1.1",NA,"Drinking water, Total",NA,"Sint Maarten (Dutch part)","2017",95.311179329752,NA,"WHO, UNICEF",NA,NA,NA,NA,NA,NA,NA,"Urban",NA,NA,"Proportion of population using an improved drinking-water source > Total"
NA,NA,"6.1.1",NA,"Drinking water, Surface water",NA,"Sint Maarten (Dutch part)","2017",0,NA,"WHO, UNICEF",NA,NA,NA,NA,NA,NA,NA,"Urban",NA,NA,"6.1.1 Proportion of population using safely managed drinking water services > Surface water"
NA,NA,"6.1.1",NA,"Drinking water, Surface water",NA,"Anguilla","2017",0,NA,"WHO, UNICEF",NA,NA,NA,NA,NA,NA,NA,"Urban",NA,NA,"6.1.1 Proportion of population using safely managed drinking water services > Surface water"
NA,NA,"6.1.1",NA,"Drinking water, Unimproved",NA,"Anguilla","2017",2.5177257525084,NA,"WHO, UNICEF",NA,NA,NA,NA,NA,NA,NA,"Urban",NA,NA,"6.1.1 Proportion of population using safely managed drinking water services > Unimproved"
NA,NA,"6.1.1",NA,"Drinking water, Unimproved",NA,"Sint Maarten (Dutch part)","2017",4.6888206702481,NA,"WHO, UNICEF",NA,NA,NA,NA,NA,NA,NA,"Urban",NA,NA,"6.1.1 Proportion of population using safely managed drinking water services > Unimproved"
NA,NA,"6.1.1",NA,"Drinking water, Limited",NA,"Sint Maarten (Dutch part)","2017",0,NA,"WHO, UNICEF",NA,NA,NA,NA,NA,NA,NA,"Urban",NA,NA,"6.1.1 Proportion of population using safely managed drinking water services > Limited service"
NA,NA,"6.1.1",NA,"Drinking water, Limited",NA,"Anguilla","2017",0,NA,"WHO, UNICEF",NA,NA,NA,NA,NA,NA,NA,"Urban",NA,NA,"6.1.1 Proportion of population using safely managed drinking water services > Limited service"
NA,NA,"6.1.1",NA,"Drinking water, At least basic service",NA,"Anguilla","2017",97.482274247492,NA,"WHO, UNICEF",NA,NA,NA,NA,NA,NA,NA,"Urban",NA,NA,"6.1.1 Proportion of population using safely managed drinking water services > At least basic service"
NA,NA,"6.1.1",NA,"Drinking water, At least basic service",NA,"Sint Maarten (Dutch part)","2017",95.311179329752,NA,"WHO, UNICEF",NA,NA,NA,NA,NA,NA,NA,"Urban",NA,NA,"6.1.1 Proportion of population using safely managed drinking water services > At least basic service"
NA,NA,"6.1.1",NA,"Drinking water, Available",NA,"Anguilla","2017",87.636564548495,NA,"WHO, UNICEF",NA,NA,NA,NA,NA,NA,NA,"Urban",NA,NA,"6.1.1 Proportion of population using safely managed drinking water services > Safely managed service > Available"
